country,year,energy_type,production_gwh,installed_capacity_mw,investments_usd,population,gdp,energy_consumption,energy_exports,energy_imports,co2_emissions,renewable_energy_jobs,government_policies,r&d_expenditure,renewable_energy_targets,average_annual_temperature,annual_rainfall,solar_irradiance,wind_speed,hydro_potential,geothermal_potential,biomass_availability,energy_storage_capacity,grid_integration_capability,electricity_prices,energy_subsidies,international_aid_for_renewables,public_awareness,energy_efficiency_programs,urbanization_rate,industrialization_rate,energy_market_liberalization,renewable_energy_patents,educational_level,technology_transfer_agreements,renewable_energy_education_programs,local_manufacturing_capacity,import_tariffs_on_energy_equipment,export_incentives_for_energy_equipment,natural_disasters,political_stability,corruption_perception_index,regulatory_quality,rule_of_law,control_of_corruption,economic_freedom_index,ease_of_doing_business,innovation_index,number_of_research_institutions,number_of_renewable_energy_conferences,number_of_renewable_energy_publications,energy_sector_workforce,proportion_of_energy_from_renewables,public-private_partnerships_in_energy,regional_renewable_energy_cooperation
Australia,2020,Hydro,3386.115429,39711.89794,3891812730,902409611,6.53414E+13,113964.3583,22082.90283,42793.31453,131626.6994,18034,0,4662931766,0,17.66324109,490.3062853,127.588077,4.404496047,16.99437018,69.18807239,0.840787692,373.5097779,0.501371509,0.431328055,193550375.8,733545395.3,7.778638573,1,46.44280155,0.231000044,0,844,8.298583469,1,1,50.08085101,64.10501566,37.07484308,1,1.566932202,1.740113714,7.67237108,3.201903476,5.942730308,6.531975782,97.15041196,1.634263037,129,45,213,413800,49.68599244,0,0
France,2015,Biomass,35747.14937,11408.68573,9918204883,551826175,6.895E+13,746144.5281,39447.16216,3493.864321,232158.034,436217,1,4340263620,0,15.81470028,2663.811813,228.2955665,14.35689883,46.23169345,20.50195824,76.95521098,408.8579909,0.843534797,0.051998835,690285749.3,33087136.87,8.77440546,1,30.33993644,95.6847549,1,169,2.077437747,1,0,10.56369861,44.33335971,47.35232767,1,2.069806747,6.180581542,4.034180184,3.290604211,8.595444704,47.44638741,75.01595548,86.42410613,380,66,5753,171701,56.16884258,0,0
Japan,2003,Solar,37917.34062,25327.81972,2183215454,764933521,2.59562E+13,783683.4257,74787.85219,22775.01321,355712.5506,925420,0,3343911059,0,34.28723345,1313.728021,288.8518488,11.25874857,68.48155378,3.971783088,62.46540616,790.7222918,0.81269051,0.453138615,650720405.1,751809200.3,7.4519131,1,8.677658365,31.58129247,0,47,0.861343904,1,0,93.18813352,97.59400943,77.83965162,1,2.45967248,6.928491944,8.858816488,1.762597552,9.396055431,35.81466499,65.03023004,86.05931693,610,64,6654,836881,1.491285874,1,0
Brazil,2004,Geothermal,92392.05433,1451.957737,2450100983,431084272,9.58947E+13,228345.0277,44923.94584,43814.59765,815109.1193,460132,0,3022177261,0,-5.527712554,2629.157509,271.643296,12.13234861,60.9701425,1.983837849,21.6402829,460.777393,0.691012933,0.438519309,11490883.08,946942568.7,3.190026949,0,65.14320415,54.11067195,1,362,3.4013018,0,1,42.50199843,0.626524292,98.43657372,1,8.524550734,9.708582523,9.616563962,1.722667164,6.754293256,95.85886187,62.80988139,98.31367785,594,45,6847,428121,63.09970555,1,1
China,2019,Solar,78755.09375,36288.85625,5635218482,979747287,1.32604E+14,361977.0277,75840.36556,31535.5804,858104.3245,942579,1,7342050242,1,13.22642603,1177.943036,254.0817023,1.180323957,73.55301661,26.88870199,94.12568836,164.2807177,0.032204914,0.152810637,938864170,449721573.1,1.280898686,1,12.83881233,46.83357374,0,711,1.17510789,0,0,85.36731969,18.4569482,14.44559429,1,3.161332587,2.750090861,6.993955858,4.917728455,4.000973497,62.39220335,70.43584928,12.84564128,839,41,3069,210289,54.51773349,1,1
Japan,2003,Wind,9627.661809,49361.19184,7899902429,1044627974,7.72791E+13,276418.2644,35864.96674,31746.77298,968724.0604,137272,0,464811092.6,0,-1.063679291,2687.442989,112.3499481,1.506654989,13.99922671,57.21303721,45.16770331,12.19755719,0.592016393,0.17298739,386381634.9,19232026.07,7.37139612,1,5.48743929,41.69066791,0,640,1.452227096,0,1,24.43382764,58.23072677,67.15749926,1,7.413887611,2.614601588,2.430634282,0.696469782,2.012126446,33.72297746,52.82113812,43.73512772,757,29,6609,497875,50.20500585,1,1
India,2010,Wind,91946.6149,46526.03502,2979264243,819890449,1.24421E+14,883549.121,72708.25005,96055.22676,437529.79,103788,1,2317398454,1,27.4427752,2333.324781,299.5108871,3.671189209,6.146241273,38.11885751,49.03585142,863.9573758,0.671529499,0.280651939,318818332.8,275315044.5,0.331284665,1,3.147436899,34.03265392,1,661,6.036861708,1,1,66.66218264,27.67005808,98.51349878,0,6.083267632,5.932003637,1.906381191,3.419102368,2.563710481,6.95512335,53.31840037,4.294068306,918,39,9752,172796,8.312129672,1,0
Canada,2014,Geothermal,80750.68344,39027.34455,9925332815,116459754,2.84714E+13,350075.8843,70974.1711,61243.21811,374325.0996,824313,1,5275322699,0,36.21342177,860.5226541,212.5436199,9.17018196,54.97492328,61.80992133,57.28778535,795.0680472,0.759165224,0.08841774,84658641.95,302332358.4,0.587373906,1,52.6247024,11.9515806,1,124,2.950482129,1,0,90.258079,95.12331451,99.39449315,0,0.219864874,6.053065469,4.893424749,5.654742856,0.812320144,1.855171033,24.28823159,68.43412542,372,93,2985,568491,42.12401543,0,0
Canada,2013,Biomass,98397.81492,16191.48609,1783535398,1205275849,1.96439E+14,7977.214013,2176.657191,46554.80474,111308.6535,970573,1,8352957170,1,10.91205109,2074.36968,173.9013505,4.879056068,18.39068204,23.10650133,52.33051765,640.0559585,0.237571293,0.465464873,887200615.1,454269940.8,7.537720337,0,21.12239672,1.763755252,0,749,7.257371912,1,1,48.66977143,91.79151947,57.92744478,0,3.609759027,6.123688078,8.800917796,3.328030055,6.248048652,13.76699316,17.30454891,45.56049468,428,37,4280,950593,71.15674008,0,1
Canada,2007,Solar,20322.54444,10828.34122,4639469254,1040200869,1.5136E+14,988690.2203,17157.93101,10527.26566,112176.2579,230374,1,6688485693,1,27.23212204,2847.237004,243.5188433,4.453305486,6.235081896,77.22291324,0.817792587,885.0460784,0.755959712,0.177239642,63101031.32,245786667.2,6.925051818,1,58.86613455,18.90727674,1,596,1.905469703,0,0,22.02924047,70.87436348,51.47887244,1,6.551374326,0.918979203,8.815218253,5.914159912,7.110194643,17.07592267,31.75094355,10.42360799,449,35,4232,101904,30.24807579,0,1
Russia,2013,Solar,7323.636888,5827.461109,1731276894,255134878,1.68115E+14,295626.6886,64711.21279,19780.11825,215858.4587,855186,0,2937554592,1,8.2624761,117.1558289,280.2931218,2.654530533,64.94450479,83.0503192,69.38685507,5.277629361,0.13034916,0.157759431,838498024.3,35499496.96,7.676731209,1,97.81709196,92.16333341,1,625,1.002860566,1,1,87.19742759,29.1505604,99.29328026,1,2.091264104,2.140101344,4.258988594,6.129737456,3.968305065,42.23108824,24.85862238,27.94710256,315,76,3924,976011,29.85801197,0,1
India,2004,Wind,6542.685311,28501.2871,9180527158,531406015,6.87187E+13,278368.4634,20948.17896,75842.92072,758468.8909,454865,1,3785552394,0,-6.36897454,2078.035399,182.6487829,12.47575362,63.32948649,60.59307293,20.53801902,481.9929249,0.153704016,0.126311903,279580704.9,153343205.1,3.913416678,1,4.7718278,18.22369293,0,874,6.214947674,0,1,48.06570767,37.34302687,1.409832208,0,5.954736753,0.759562373,5.269944255,7.503268277,6.020744196,34.19213815,64.7769337,31.31881102,205,8,586,302723,36.41965422,1,1
Germany,2019,Geothermal,17502.1398,26502.99425,408490766.7,189017849,2.74606E+13,32557.91541,10745.38388,16792.26197,170377.0514,258425,0,3128713345,1,17.10688691,2670.28988,202.0091812,13.29422068,35.71027062,53.39283506,96.65212472,499.4799412,0.447049161,0.365760264,598376589,412154842.6,9.912118651,0,79.27801576,26.5200894,1,717,3.801386032,0,0,19.75067489,56.30514857,23.03820211,1,3.382022298,4.332120909,9.088724595,7.779085741,2.637590963,65.25969592,3.545233043,32.8494096,981,27,3866,600386,67.21384141,1,1
Japan,2023,Hydro,14777.08888,28986.54224,1316801465,898948417,1.12776E+14,240448.872,54523.65521,35630.66204,991128.8351,599552,0,3940056953,1,6.013800952,2052.467233,221.8286339,3.450994392,50.11860133,66.71547474,64.39067133,277.7125953,0.706692922,0.068965045,596615351.3,319150196.4,9.409104635,0,57.72975883,50.29218888,1,241,9.873842626,0,0,72.09975636,31.27464474,52.08506553,1,5.657906037,3.105857358,5.25428805,8.208326837,6.67569675,16.5719649,98.74809674,47.65621353,192,1,4835,642781,2.37670075,0,1
France,2019,Solar,28474.75934,24303.2309,21020901.66,620172080,2.02132E+13,495218.3525,25933.88969,19803.59162,547101.9222,991941,1,9452069833,0,13.78841759,729.4356834,296.3708737,10.19779149,44.23059607,72.71339779,60.4472497,903.5054969,0.502986664,0.445734642,736504659.9,241285238.7,6.409704816,0,25.3602392,28.31868743,0,304,7.524442436,1,1,50.76555772,9.718235281,39.50136396,0,5.167403156,5.030326235,9.966985629,8.061216278,1.147495474,7.93610698,22.30808304,2.838242849,411,7,7589,591570,69.04194554,0,1
Germany,2002,Wind,3515.84855,26439.04324,5976202997,1141999257,1.853E+14,643774.8059,11828.47822,48644.04347,328861.0607,556509,0,7240117661,0,5.834415069,128.6396291,226.4767285,2.080925797,88.35281126,61.3273579,53.07132116,922.4013732,0.766913944,0.454618828,173377487.7,894932804.7,3.035794918,0,18.95078872,72.19909005,1,586,4.202074957,1,0,36.49332662,30.33273486,43.44191004,1,0.290651911,1.514207535,3.563295088,4.558555873,1.917986355,25.83703915,54.9496686,40.64821187,208,19,9898,687078,81.90956718,1,0
France,2008,Biomass,1072.712469,7822.081651,8371581377,934790960,1.65524E+14,931958.5181,61877.45137,87793.37707,676454.4529,921555,0,967285075,1,8.619295371,2825.866892,255.7931547,8.909255189,48.02910937,70.84810854,41.17856726,376.9631483,0.224134436,0.476500046,477969782.7,601346959.2,6.025488651,0,58.92282377,80.78293713,1,446,9.299568331,1,0,25.52148957,36.30660251,69.17926993,1,1.574578157,9.992970809,7.676678417,1.811423942,9.26819079,12.35441868,33.05636561,39.16201985,832,2,6793,597759,0.033828978,0,1
France,2014,Solar,43969.67653,15713.42056,6996068074,197990713,6.58207E+13,671660.5537,55431.61701,64905.94353,114813.2005,587650,0,649375733.8,0,9.650138177,2153.136916,209.692585,11.4706732,64.61539605,38.80482688,22.99341402,650.6890676,0.848967284,0.205652046,696033896.1,42235124.03,3.972905875,0,27.61454492,2.241269544,1,167,0.10567469,0,0,81.84192093,55.22420165,52.08232022,0,1.783239358,4.777582735,8.255962779,4.918991414,5.142963738,82.08055392,12.03062156,31.78994088,623,65,3041,307523,71.87563351,0,1
Brazil,2010,Solar,39491.78696,14223.86095,1472171372,636023248,9.00402E+12,290910.8883,94385.89588,45123.84516,369447.5625,884874,1,9703166646,0,33.18611329,1648.335502,243.3028318,7.124636371,82.89625581,6.150711247,72.3037174,300.6558597,0.585783207,0.442199431,489794414.7,214701120.7,4.220372657,1,61.74910054,89.66088629,1,332,5.45697477,0,1,81.39819477,97.76334307,66.24252029,1,3.801466023,8.6082989,4.980695011,5.796694806,8.779195829,19.30139572,6.804171873,9.238379271,98,57,8895,494,32.26960957,0,1
Germany,2007,Wind,35102.80525,17363.98591,5124903676,810530992,1.17271E+14,445969.3023,50496.65967,24314.12432,965260.3146,896954,0,1364767503,0,26.76849879,349.1566841,256.6387011,6.997993179,48.36598429,73.66408179,90.633345,213.2713884,0.705612808,0.491614258,638573381.3,731513438.3,7.259337801,1,16.90315743,7.389221256,1,8,2.244963486,0,1,29.2977389,94.45721039,85.26118771,0,1.545735253,8.238026745,3.686179904,9.745612039,4.847004218,33.28119218,34.93118694,33.42750839,583,27,2927,612093,39.09763407,0,0
India,2021,Wind,75015.10933,21087.56372,4916894562,613191835,5.70951E+13,85751.93627,56360.57032,80690.39385,256029.4746,851675,0,7183075262,1,33.88781372,2380.923597,174.8892287,5.628846559,92.59861204,85.24585615,32.03293021,697.4560801,0.58944542,0.194231517,416123157.1,645139314.8,8.81066221,1,56.28400542,27.19783499,0,973,3.199752223,0,1,77.40366339,53.0993323,66.19284921,0,2.488498875,5.668385929,7.066246408,8.659587158,7.245673299,22.9051433,13.30706618,36.56322308,12,41,6383,219917,39.99653706,1,0
USA,2005,Wind,55487.02241,13187.61668,4972807916,710170825,1.16072E+14,985035.7101,48007.2752,40046.29202,684123.8411,521931,0,6633565665,0,-6.598321095,2959.595135,148.3719652,4.897013504,23.79684518,32.61357214,46.94724998,409.9955701,0.54633345,0.323247071,808790814.4,802183880.5,0.662907839,1,77.02205604,23.93423223,1,93,3.627259286,1,1,93.34816268,64.98121124,76.06696601,0,7.013509663,2.823454909,3.078778777,6.591428256,8.592916273,73.19002604,27.68127165,60.33299846,220,95,9622,442797,57.05751355,0,0
France,2010,Geothermal,62387.57055,21564.61795,7535222387,1337802427,7.25716E+12,67563.88538,32121.44838,94099.33553,217082.0336,529241,0,4171877998,1,3.544050212,1367.179629,223.5730415,10.9665016,44.53510641,52.09675647,10.99862733,765.8771689,0.632776107,0.41285671,652865572,303419292.1,1.206659734,1,2.536697328,18.60929642,1,55,8.083394199,0,1,28.61582539,43.81525364,2.135761824,1,4.411754822,7.591492643,2.077113502,3.829804518,5.031427717,67.11059976,29.07425802,19.99442491,382,55,4177,192065,32.2583828,1,1
Russia,2020,Hydro,54157.62707,412.7012683,6394575201,188910945,1.15366E+14,140334.6542,44736.9621,11785.07281,912903.2484,220529,1,1880145938,1,-9.348936222,1919.229456,156.6583523,1.321115921,63.30020629,39.30798245,77.08179972,289.9848395,0.012089129,0.461544953,287836553.6,391906162.5,9.451359453,1,12.46008548,57.63482527,1,350,9.599029036,1,1,53.41315918,90.3660335,4.653612689,0,6.644411471,8.039976784,8.725400812,7.811003876,5.569240827,62.49528474,21.00405787,50.98420948,835,36,8475,962904,58.91579108,0,1
Russia,2010,Biomass,3204.979523,24196.75158,5061422754,1075716108,9.45498E+13,723871.3862,71006.09732,61336.41603,932965.6165,303989,1,5594875354,0,24.4391898,1664.151688,177.384314,7.692859033,78.98410591,72.7005435,31.42188622,85.26190869,0.255521296,0.212530616,300312691.5,862927547.1,1.443126053,1,30.54845069,0.623472647,0,713,6.006919883,1,1,98.98286309,78.9879953,34.99048103,0,1.556159943,1.197448722,9.887549869,9.999630006,6.677714892,28.07511536,0.934937472,79.68418005,469,94,6506,707607,84.59438633,1,0
Japan,2022,Hydro,47146.18836,29106.28817,8045717983,762402801,1.45906E+14,894909.7572,33238.82476,93759.14157,19800.921,567964,0,2457893039,1,31.06919677,1436.48136,154.4006017,5.51697498,56.5484475,3.42497589,86.3680961,743.5547312,0.766565503,0.150579533,600601285.6,548571772.7,3.047363893,0,94.52329465,35.66286635,1,113,1.771884419,1,0,9.004237055,94.06979154,6.469032071,0,3.827647628,8.505595997,4.395440592,6.009769581,7.656236864,55.82005214,28.36344083,47.40039038,504,31,2072,822745,15.2127642,1,0
France,2001,Geothermal,84294.04136,26925.03355,3776283774,183874120,1.85504E+14,369685.2647,53604.99674,99899.96823,29061.62662,249779,1,7352989415,0,6.954458924,1044.569,106.6949044,3.130344168,9.545177716,86.64023657,68.82829174,604.4695304,0.0457288,0.181471845,466460158.8,564493655.1,3.184854522,1,28.02472137,37.59732919,0,967,4.668853313,0,1,90.05498083,69.115275,20.21783033,1,1.358528177,9.232541147,1.794453057,1.79477836,8.50260398,65.20239174,50.71919113,21.71798314,949,71,2926,993830,45.27033897,0,1
Germany,2003,Solar,73627.87666,41479.83227,1217189974,842131261,5.20523E+13,15915.9018,69698.5373,72685.70196,366829.6133,268866,0,1656156783,0,17.09029843,1927.178219,198.405848,1.350190354,85.68868636,46.08403981,28.39926944,665.6099867,0.538242804,0.387423697,228545553.8,89286332.85,6.117554867,0,11.82213443,92.940675,1,683,6.950494137,0,0,89.05980613,34.60243414,7.230885368,1,3.318098368,4.179318798,9.145231603,7.606079213,1.248415756,98.68776791,91.36932562,21.03470574,988,15,483,355636,87.40142713,0,1
Germany,2017,Biomass,55637.02061,28651.92192,4673581581,481418144,1.25005E+14,638360.5637,53694.05884,41214.56368,794512.4153,956625,1,4667357140,1,9.943724667,1566.476813,147.7886664,2.048996397,33.49831997,67.38465022,22.43540096,235.812513,0.379098044,0.205556005,586907015.7,641989119.1,6.257452228,1,34.2022204,88.68542105,1,611,5.5542476,1,1,20.26790432,5.955821795,4.756360465,1,6.147935714,8.573856128,4.865582342,2.147276309,5.258596535,46.22424474,13.77562548,63.10162873,422,94,2246,169228,65.28051883,1,1
USA,2006,Hydro,21195.90664,34520.49061,9333387383,51710882,2.80263E+13,82210.08254,49193.29124,98780.53386,379652.2445,615749,1,8068504122,1,4.517432674,408.7457781,130.8838425,6.629392977,89.85033344,18.08442976,88.0054933,435.7041406,0.05395596,0.061283448,617626048.7,991321684.2,4.409750865,0,49.24209482,16.40799777,0,987,7.56760498,1,1,42.3652556,14.46641733,55.51845386,1,1.594263695,7.48192582,7.13440346,9.656120558,4.935988008,85.75207154,22.3313958,83.06342656,943,26,2979,569529,3.682493835,1,0
Australia,2009,Solar,40218.0112,42993.53095,338009756.2,282116949,7.42323E+13,267479.7139,5273.546284,80333.19339,695121.1327,526963,1,7787833307,0,1.425296408,1881.088212,248.009639,10.35027607,54.49059969,35.23064315,77.92932257,773.8561475,0.932735305,0.26676294,339235729.2,565239260.7,5.260961569,1,92.38249163,32.14880964,1,424,8.544677841,1,1,94.88850245,7.464962171,98.6175685,1,4.402442241,0.268128495,4.485780651,9.006512517,7.871410191,1.475504621,94.24750598,6.395387976,464,54,2826,876312,92.97194444,0,1
France,2005,Geothermal,86174.00682,40042.60571,3765310092,1002285207,1.8671E+14,36342.77955,87027.49847,52170.94662,492200.9671,679953,0,3776464300,1,15.74065535,1912.259106,171.6185463,4.833348415,88.8858324,82.11972005,82.14962501,372.8325852,0.304734609,0.30135969,807167227.2,792625338.7,6.435803366,0,52.97432269,71.46943193,1,319,8.845952087,1,1,67.19576067,89.79078824,22.36563237,1,6.078825676,1.551084399,2.102266809,4.632775252,0.346041291,43.25084136,46.23491077,38.54669422,65,3,9753,273935,12.00645331,0,1
Russia,2009,Wind,19652.01854,4580.207604,5799602397,1480116352,2.2524E+13,473519.2944,78195.74443,17116.25953,345594.6836,618069,1,4447970127,0,3.019921513,1862.977973,241.2230476,9.432825817,94.79449434,83.36822302,87.97507573,165.2620007,0.122988775,0.277706436,369568788.5,811526302.9,4.942005575,0,66.35666746,79.8990985,1,807,7.376286524,0,1,68.29701335,56.01488284,98.49060738,0,2.381940369,2.703544701,1.097124415,7.417771361,8.489974766,18.30814801,72.81165829,94.12509309,418,15,4937,643464,25.50266712,0,1
Brazil,2017,Geothermal,13680.98799,1494.780339,8076873411,1097252814,7.97747E+13,669437.3586,36364.14449,45999.26659,353261.7897,479946,0,4209210356,1,23.67621838,573.9095075,174.1709355,4.723621948,96.61449256,49.50293624,61.57076611,533.9791074,0.97010508,0.332294098,932678262.7,321281223.9,9.277777284,0,5.101079142,16.54594265,0,303,3.594625277,1,1,87.0110898,22.4597258,22.41291208,0,8.137020741,1.62268393,8.141449902,6.219991371,7.931455481,11.64780037,28.70411217,62.34311816,793,72,1598,356973,29.64253906,1,0
Russia,2002,Solar,92232.75986,13825.92306,483774920.4,956822416,1.60151E+14,557054.7409,69162.79561,41953.2833,644875.8226,172535,1,3918144915,0,-1.527769434,1207.778399,238.4515842,13.64232154,16.10780907,98.29714626,50.28989859,199.0619385,0.822443436,0.40630771,989546831.4,237133856.3,4.739293111,1,92.84313247,90.8268351,0,616,5.193692245,1,1,34.7590484,44.68068121,4.279237566,1,7.589319578,7.23014844,7.696078609,3.621656144,9.835727274,51.78378718,43.93187299,48.44586594,300,4,1434,892131,18.06566104,1,0
Brazil,2007,Geothermal,75518.88579,44242.36803,8424385584,850214259,5.66329E+12,568401.3363,58686.19702,29716.37476,561938.1894,921467,0,2506848372,0,-7.15565013,330.2516484,230.1026521,13.60809401,44.12814394,60.21238754,20.7487195,244.3423982,0.669035167,0.360433222,472896476,73820769.42,4.166102748,0,68.34420494,76.01057631,1,438,7.670263856,0,0,33.75342733,18.75521422,37.78733205,0,5.744302004,2.019295772,0.933646257,1.302069313,7.896597376,20.21780507,11.87215991,8.280817099,660,56,14,949433,91.78025032,0,0
Japan,2022,Biomass,63005.16927,25563.84136,9104672097,1347133105,5.24136E+13,871439.1168,33247.80102,28057.13859,273959.5205,117482,1,2747755125,1,-2.590770949,1893.611548,137.3481241,13.68567842,83.40737814,69.19251637,60.69602523,678.5057087,0.526969351,0.204949008,38851796.18,64000406.21,8.214001685,1,65.46054924,67.42005422,0,439,3.61534251,1,0,39.92116141,76.91336102,5.681757128,1,2.960864611,6.913477498,6.914171167,9.955954784,3.31940104,78.42889533,0.123762792,62.04523817,157,73,3643,245849,1.631999732,1,0
Japan,2007,Geothermal,52535.54393,821.3431093,147464154.7,645225740,9.51754E+13,95573.25547,85730.33889,90780.32415,325673.5629,161858,1,897037764.8,0,0.589133355,1858.843732,102.8337684,11.11533712,0.186067615,43.36879273,67.00897132,525.1373575,0.80691414,0.17296539,272960070.4,173961638.8,8.781356924,0,92.94965985,2.077682885,1,540,3.535692416,0,1,56.13858027,50.41080491,93.2330001,0,8.54310877,8.238303399,9.695796388,4.17400918,9.371700542,99.74316399,67.01956183,61.4601449,289,38,7427,861948,23.16532615,0,0
